,accuracy,precision,recall,f1_score
LightGBM,0.875,0.9017857142857143,0.875,0.8723276723276722
Logistic Regression,0.8333333333333334,0.875,0.8333333333333334,0.8285714285714286
Decision Tree,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8307692307692308
Random Forest,0.8333333333333334,0.8601190476190476,0.8333333333333334,0.8200549450549449
Gradient Boosting,0.8333333333333334,0.8601190476190476,0.8333333333333334,0.8200549450549449
XGBoost,0.8333333333333334,0.8601190476190476,0.8333333333333334,0.8200549450549449
SVM,0.7916666666666666,0.8541666666666666,0.7916666666666666,0.780952380952381
Naive Bayes,0.625,0.5528846153846154,0.625,0.5388471177944861
Deep Learning (Neural Network),0.625,0.6333333333333333,0.625,0.601641414141414
